77,19631109,1330,TSV 1860 München,1. FC Saarbrücken,7,1,1,1
78,19631109,1330,Karlsruher SC,Preußen Münster,4,2,4,1
79,19631109,1600,Werder Bremen,Hertha BSC,2,2,1,0
80,19631109,1800,Borussia Dortmund,1. FC Nürnberg,3,1,1,1
81,19631116,1330,1. FC Köln,Hamburger SV,4,1,1,1
82,19631116,1330,Eintracht Braunschweig,Meidericher SV,0,0,0,0
83,19631116,1330,1. FC Saarbrücken,Preußen Münster,1,1,1,1
84,19631116,1330,VfB Stuttgart,1. FC Nürnberg,1,0,1,0
85,19631116,1600,TSV 1860 München,Karlsruher SC,1,0,0,0
86,19631116,1600,Werder Bremen,Frankfurter SG Eintracht,4,1,2,1
87,19631116,1630,Borussia Dortmund,1. FC Kaiserslautern,9,3,5,1
88,19631116,1800,FC Schalke 04,Hertha BSC,1,0,0,0
89,19631123,1330,1. FC Nürnberg,1. FC Köln,2,2,2,1
90,19631123,1330,Hamburger SV,VfB Stuttgart,1,1,0,1
91,19631123,1330,Meidericher SV,Borussia Dortmund,3,3,1,3
92,19631123,1330,Preußen Münster,FC Schalke 04,2,2,1,0
93,19631123,1330,1. FC Kaiserslautern,Eintracht Braunschweig,2,1,1,0
94,19631123,1330,Hertha BSC,1. FC Saarbrücken,3,2,1,2
95,19631123,1330,Karlsruher SC,Werder Bremen,1,1,1,0
96,19631123,1600,Frankfurter SG Eintracht,TSV 1860 München,5,2,2,1
97,19631130,1330,1. FC Nürnberg,Meidericher SV,2,0,1,0
98,19631130,1330,Hertha BSC,Karlsruher SC,2,3,1,2
99,19631130,1330,1. FC Kaiserslautern,Hamburger SV,3,2,2,0
100,19631130,1600,VfB Stuttgart,Eintracht Braunschweig,5,0,3,0
101,19631130,1600,Werder Bremen,1. FC Saarbrücken,0,3,0,1
102,19631130,1600,Frankfurter SG Eintracht,Preußen Münster,3,0,0,0
103,19631130,1800,FC Schalke 04,TSV 1860 München,2,1,2,0
104,19631130,1900,Borussia Dortmund,1. FC Köln,2,3,2,3
105,19631207,1315,Meidericher SV,VfB Stuttgart,3,0,1,0
106,19631207,1315,Preußen Münster,Werder Bremen,1,3,0,2
107,19631207,1400,Karlsruher SC,FC Schalke 04,1,1,0,0
108,19631207,1600,TSV 1860 München,Hertha BSC,1,2,0,0
109,19631207,1730,1. FC Saarbrücken,Frankfurter SG Eintracht,0,4,0,2
110,19631207,1800,1. FC Köln,1. FC Kaiserslautern,5,1,1,0
