18153,['', '', '19:30', '', 'FC Augsburg', '', ' - ', '', 'Bor. Mönchengladbach', '', '', '-:- ', '', '', ' ', '']
18154,['', '', '19:30', '', 'Werder Bremen', '', ' - ', '', '1. FC Union Berlin', '', '', '-:- ', '', '', ' ', '']
18156,['', '27/01/2023', '19:30', '', 'RB Leipzig', '', ' - ', '', 'VfB Stuttgart', '', '', '-:- ', '', '', ' ', '']
18157,['', '28/01/2023', '14:30', '', 'Hertha BSC', '', ' - ', '', '1. FC Union Berlin', '', '', '-:- ', '', '', ' ', '']
18158,['', '', '14:30', '', '1899 Hoffenheim', '', ' - ', '', 'Bor. Mönchengladbach', '', '', '-:- ', '', '', ' ', '']
18159,['', '', '14:30', '', 'Werder Bremen', '', ' - ', '', 'VfL Wolfsburg', '', '', '-:- ', '', '', ' ', '']
18160,['', '', '14:30', '', '1. FSV Mainz 05', '', ' - ', '', 'VfL Bochum', '', '', '-:- ', '', '', ' ', '']
18161,['', '', '14:30', '', 'SC Freiburg', '', ' - ', '', 'FC Augsburg', '', '', '-:- ', '', '', ' ', '']
18162,['', '', '17:30', '', 'Bayern München', '', ' - ', '', 'Eintracht Frankfurt', '', '', '-:- ', '', '', ' ', '']
18163,['', '29/01/2023', '14:30', '', 'FC Schalke 04', '', ' - ', '', '1. FC Köln', '', '', '-:- ', '', '', ' ', '']
18164,['', '', '16:30', '', 'Bayer Leverkusen', '', ' - ', '', 'Borussia Dortmund', '', '', '-:- ', '', '', ' ', '']
18166,['', '03/02/2023', '19:30', '', 'FC Augsburg', '', ' - ', '', 'Bayer Leverkusen', '', '', '-:- ', '', '', ' ', '']
18167,['', '04/02/2023', '14:30', '', '1. FC Köln', '', ' - ', '', 'RB Leipzig', '', '', '-:- ', '', '', ' ', '']
18168,['', '', '14:30', '', 'Borussia Dortmund', '', ' - ', '', 'SC Freiburg', '', '', '-:- ', '', '', ' ', '']
18169,['', '', '14:30', '', '1. FC Union Berlin', '', ' - ', '', '1. FSV Mainz 05', '', '', '-:- ', '', '', ' ', '']
18170,['', '', '14:30', '', 'VfL Bochum', '', ' - ', '', '1899 Hoffenheim', '', '', '-:- ', '', '', ' ', '']
18171,['', '', '14:30', '', 'Eintracht Frankfurt', '', ' - ', '', 'Hertha BSC', '', '', '-:- ', '', '', ' ', '']
18172,['', '', '17:30', '', 'Bor. Mönchengladbach', '', ' - ', '', 'FC Schalke 04', '', '', '-:- ', '', '', ' ', '']
18173,['', '05/02/2023', '14:30', '', 'VfB Stuttgart', '', ' - ', '', 'Werder Bremen', '', '', '-:- ', '', '', ' ', '']
18174,['', '', '16:30', '', 'VfL Wolfsburg', '', ' - ', '', 'Bayern München', '', '', '-:- ', '', '', ' ', '']
18316,['', '27/05/2023', '14:30', '', '1. FC Köln', '', ' - ', '', 'Bayern München', '', '', '-:- ', '', '', ' ', '']
18317,['', '', '14:30', '', 'VfL Bochum', '', ' - ', '', 'Bayer Leverkusen', '', '', '-:- ', '', '', ' ', '']
18318,['', '', '14:30', '', 'Eintracht Frankfurt', '', ' - ', '', 'SC Freiburg', '', '', '-:- ', '', '', ' ', '']
18319,['', '', '14:30', '', 'Borussia Dortmund', '', ' - ', '', '1. FSV Mainz 05', '', '', '-:- ', '', '', ' ', '']
18320,['', '', '14:30', '', 'VfB Stuttgart', '', ' - ', '', '1899 Hoffenheim', '', '', '-:- ', '', '', ' ', '']
18321,['', '', '14:30', '', 'Bor. Mönchengladbach', '', ' - ', '', 'FC Augsburg', '', '', '-:- ', '', '', ' ', '']
18322,['', '', '14:30', '', 'VfL Wolfsburg', '', ' - ', '', 'Hertha BSC', '', '', '-:- ', '', '', ' ', '']
18323,['', '', '14:30', '', 'RB Leipzig', '', ' - ', '', 'FC Schalke 04', '', '', '-:- ', '', '', ' ', '']
18324,['', '', '14:30', '', '1. FC Union Berlin', '', ' - ', '', 'Werder Bremen', '', '', '-:- ', '', '', ' ', '']
